name,symbol,category,chains,tvl,change_1h,change_1d,change_7d,mcap,url,description
Superman Swap,SUPERMAN,Yield Aggregator,Binance,2970.893983799379,0.23675364721668757,-1.0633927394460443,-1.4323682827164532,,,Yield Farm on BSC
CatsLuck,CLK,Prediction Market,smartBCH,2962.048362760805,,,,,https://catsluck.com,"CatsLuck is a prediction market platform allowing everyone to bet on events, play the lottery and more."
Y2K V2,Y2K,Derivatives,Arbitrum,2961.3641334725207,2.2183006074461673,-9.175700873193023,-17.032120395885897,,https://app.y2k.finance/mint,"Y2K Finance is a suite of structured products designed for exotic peg derivatives, that will allow market participants the ability to robustly hedge or speculate on the risk of a particular pegged asset (or basket of pegged assets), deviating from their 'fair implied market value'."
Swapline V1,-,Dexs,"ShimmerEVM, Optimism, Fantom, Base, Polygon zkEVM, Arbitrum",2952.7321542346854,1.6003612903866156,-3.3885279134239426,59.00722093174974,,https://swapline.com,Swapline is a multichain DEX bringing the power of Liquidity Book AMM to new ecosystems. Experience trading with zero slippage!
ZenoLend,-,Lending,"ApeChain, Hemi, Unichain, Story, Soneium",2941.835050831418,2.3564358138473693,-9.131313484632159,-19.977767317345666,,https://zeno.finance,We are a decentralized lending protocol that enables secure and efficient supplying and borrowing of crypto assets
Strike,STRK,Lending,Ethereum,2939.216379566681,0.06568206634997864,-0.7780422095828641,-48.20583147456743,96422.41247556817,https://strike.org,"The Strike App enables users access to a fully decentralized money market powered on Ethereum 24/7/365 with a user-interface, api, or smart contracts."
nftperp,-,NftFi,"Blast, Arbitrum",2931.342488972038,1.0209666119967835,-9.521319301004397,-16.758886703725935,,,Perpetual futures DEX for NFTs
BBQSwap,BBQ,Dexs,Ham,2929.1674665482674,,,,,,"Stake, farm, and grill your way to juicy rewards with BBQswap"
3xcalibur,XCAL,Dexs,Arbitrum,2919.611954567544,0.32788339763098406,-3.345249060592309,-5.704897365356118,11505.802031938916,https://3xcalibur.com,"The 3xcalibur Protocol is a permissionless, liquidationless, oracleless liquidity marketplace, powered by Tri-AMM architecture to facilitate stableswaps, variable swaps and borrowing/lending."
Atlantis Loans,ATL,Lending,"Avalanche, Dogechain, Binance, Polygon",2902.3083267515694,,,,24808.11474693558,,Atlantis is a decentralised money market that enables users to borrow and supply digital assets to the protocol within a non-custodial environment directly within the Binance Smart Chain
SoulSwap,SOUL,Dexs,"Fantom, Avalanche",2901.242127129255,11.798508183281413,-10.612771390502544,-21.17192598579439,,https://soul.sh,"Soul is an algorithmic, cross-chain AMM and P2P lending protocol (on Fantom) built for traders, investors, developers, and visionaries seeking to unlock a universe of open financial applications."
GPLX,GPLX,Derivatives,Pulse,2897.9017054964984,2.4689837501177863,-4.70107532008636,-12.47660362687219,0.0,https://gplx.io/#/,GPLX is a decentralized spot and perpetual exchange on Pulsechain
Fixes frc20 Staking,-,Staking Pool,Flow,2896.6062481420117,-7.352335165489407,-15.831671836859869,-36.00901058104493,,https://fixes.world,"Fixes World provides multiple fungible token issuance, trading, staking, and governance services. It is driven by the inscription mechanism to enable underlying programmable features."
MM Stableswap,-,Dexs,Cronos,2893.029683227927,-0.11970682072218608,-0.19559718368459755,-0.013729560866948987,,https://stable.mm.finance/swap,"Our stableswap allow users to swap their MUSD stable coins for USDT, DAI, or USDC. We will enable more stables once our liquidity is reached optimal level"
Tropykus zkEVM,-,Lending,Polygon zkEVM,2882.468921239061,0.04057370862444998,-0.16486525168038213,-0.3345261824248382,,https://zk.app.tropykus.com,AAVE fork on polygon zk chain
Tangible USTB,TNGBL,RWA,Ethereum,2876.7909555598944,-0.004793046315853644,0.6157245613730424,-0.7378822510765701,,https://www.tangible.store,"Tangible is a tokenization protocol that brings valuable, real world assets on chain. Tangible issues the stablecoin USTB (backed by T-bills via Mountain Protocol) as well as Baskets i.e. UKRE, ERC-20's backed by a basket of tokenized (NFTs) yield-generating properties."
KronosDAO,KRONOS,Reserve Currency,Binance,2873.9765057596906,0.6784193493957389,-4.466840676188426,-6.479397549708608,0.0,,"Kronos DAO is the next evolution of the reserve currency protocol. Nodes, Kronoscharger, Kronospad, Swap, Farms and Pools."
UWU Protocol,-,CDP,Stacks,2873.6109285731427,3.2704343310394677,-9.279837383083333,-13.710357985959291,,https://uwu.cash,"UWU Protocol lets you access your STX's value today, without missing out on tomorrow's upside."
Akronswap,-,Dexs,"Arbitrum, Ethereum, Base, Binance",2864.113662679106,1.6832994624988942,-4.491375797121407,-8.610480319521727,,https://akronswap.com/,"Akronswap is a decentralized exchange that captures arbitrage profits from arbitrageurs and gives them back to LPs through dynamic swap fees, thereby protecting LPs from loss-versus-rebalancing"
wen markets,-,Launchpad,Polygon,2859.3006887098177,3.653071536183333,-5.363444968485737,-15.974679584394835,,https://wen.markets,"A token launchpad bulletin board where anyone can create and bootstrap ERC20 token liquidity free from rugpulls, and post comments for discussion, inspired by 4chan and the Internet culture"
Cypher V2,-,Dexs,Ethereum,2842.103928030474,1.720507698603484,-59.914621857328136,-61.258345560380526,,https://cyphereth.com/,"Trade, raise, and launch on Ethereum Layer 1. Purpose-built for Mainnet and owned by its community, Cypher is the engine of Ethereum Capital Markets."
Cropper CLMM,CRP,Dexs,Solana,2837.3244612143517,0.15502690316282042,-7.674648537285606,84.15450591515108,,https://cropper.finance,Cropper is a CLMM built on the Solana blockchain.
Nemo Yield Trading,-,Yield,Sui,2823.8915500582707,5.279178807910824,-9.447869867246709,-21.925130450619832,,https://www.nemoprotocol.com/,"Nemo enables yield trading by splitting yield-bearing assets into principal and yield components. This lets users lock in fixed yields, speculate on future yield rates, or provide liquidity to earn fees — all while maintaining full composability with the DeFi ecosystem."
ZigZag,ZZ,Dexs,"Arbitrum, zkSync",2821.28626425977,0.278468373363296,-0.6998755021012499,-1.344746360209001,,,A Layer 2 decentralized exchange (DEX) on zkSync 
Swyrl CL,-,Dexs,Monad,2810.4480407949186,0.1014751805067533,-0.1705006797215134,-97.18472129541554,,https://swyrl.finance/,Swyrl CL is a concentrated liquidity (CL) decentralized exchange on Monad.
Nexion Lending,NEON,Lending,Pulse,2775.429063644831,-0.05256126741663536,-5.34686956701772,,,https://nexionpulse.com/glow,Earn APY % by Suppling Assets into the Lending Pools.
Polyroll,ROLL,Yield,Polygon,2741.8812267011763,3.6302116613493354,-8.709453206274276,-16.882799206862458,4725.961565128205,https://polyroll.org,"Polyroll is a decentralized gaming platform built on Polygon Network and Chainlink. Unlike traditional games that operate in black boxes, Polyroll runs on smart contracts that are fair, transparent, non-custodian, and immutable."
BencuFi,-,Lending,Metis,2728.53937701458,0.7993731443277454,-4.276561106928838,-6.294525132200448,,,"Bencu finance is is a decentralized non-custodial liquidity protocol based on Metis Blockchain, where users, wallets and dapps can participate as depositors or borrowers."
Vaquita Protocol,-,Yield Aggregator,Base,2724.941808794622,-0.009356228038242875,-0.00013093231746097445,-0.3647564017364573,,https://www.vaquita.fi/,"Vaquita is a platform that encourages long-term saving through dynamic rewards. We gamify saving by awarding additional interest to those who keep their commitment and penalizing early withdrawals, thereby ensuring higher returns."
Ocelex V1,-,Dexs,Zircuit,2697.6839715093492,1.4446886347267593,-4.497137272134665,-8.889109454628766,,https://www.ocelex.fi,"Zircuit's intrinsic on-chain liquidity marketplace. Driven by state-of-the-art DEX infrastructure, we present an exceptionally efficient DeFi solution"
Chocodoge,USCD,Algo-Stables,Dogechain,2697.043113363339,5.503530785758642,2.330770466216819,0.7703118702401639,,,The first seigniorage stablecoin on Dogechain.
SeedFi Perp,-,Derivatives,Superseed,2685.076652158317,-0.0017506527066473154,-0.4604088489722642,-0.0030497667514879367,,https://seedfi.trade,The pioneering native one-stop trading platform
LeonicornSwap,LEON,Dexs,Binance,2662.5758567549296,0.33903475467597843,-1.7816557649979643,-3.1495304524051306,5972612.411518745,,Advanced Decentralized Ecosystem With a Reward Sharing Economy
SMBSwap V2,SELF,Dexs,Binance,2654.4584518265638,2.1431343339258717,-7.556785765546849,-10.483071457389286,,https://smbswap.finance/,AMM on bsc
Fruits of Ryoshi,NONI,Farm,Dogechain,2648.5149849428053,0.009611794856994038,3.2816032971930866,2.13777091546514,31870.537933786018,,Yield farm on Dogechain
Moonmace,-,Liquid Staking,Monad,2644.0713279383062,1.2017894558512126,-8.308103623492983,-0.759655484167908,,https://moonmace.ai/,"Moonmace is the first liquid staking protocol built on Monad, enabling users to stake MON tokens while retaining on-chain liquidity and composability."
MicroSwap,-,Yield,Cronos zkEVM,2640.438267848053,1.6272221987068747,-3.05773627097696,-8.694672376994774,,https://www.microswap.org,Optimize Your Trade with Precision and Efficiency
Predy V3,-,Derivatives,Arbitrum,2633.295330736456,0.032561178580749583,-0.7174783792162032,-1.2401091364230012,,https://www.predy.finance,Predy V3.
